asset_tag,asset_name,category,status,location,item_lifespan,disposal_method,acquisition_date
IL-MSE-N/A-073,MOUSE (A4TECH),MOUSE (A4TECH),Assigned,ROOM302/CARGO,5,,
IL-MSE-N/A-074,MOUSE (A4TECH),MOUSE (A4TECH),Assigned,ROOM302/CARGO,5,,
IL-MSE-N/A-075,MOUSE (A4TECH),MOUSE (A4TECH),Assigned,ROOM302/CARGO,5,,
IL-MSE-N/A-076,MOUSE (FANTECH),MOUSE (FANTECH),Assigned,ROOM302/CARGO,5,,
IL-MSE-N/A-077,MOUSE (ACER),MOUSE (ACER),Assigned,ROOM302/CARGO,5,,
IL-MSE-N/A-078,MOUSE (ACER),MOUSE (ACER),Assigned,ROOM302/CARGO,5,,
IL-MSE-N/A-079,MOUSE (A4TECH),MOUSE (A4TECH),Assigned,ROOM 201,5,,
IL-MSE-N/A-080,MOUSE (A4TECH),MOUSE (A4TECH),Assigned,TRAINING,5,,
IL-MSE-N/A-081,MOUSE (A4TECH),MOUSE (A4TECH),Assigned,TRAINING,5,,
IL-MSE-N/A-082,Mouse(LogicTech),Mouse(LogicTech),Assigned,Quality Assurance,5,,
IL-MSE-N/A-083,Mouse(generic),Mouse(generic),Assigned,Service Support,5,,
IL-MSE-N/A-084,Mouse(generic),Mouse(generic),Assigned,MARKETING,5,,
IL-MSE-N/A-085,Mouse(generic),Mouse(generic),Assigned,MARKETING,5,,
IL-MSE-N/A-086,Mouse(generic),Mouse(generic),Assigned,MARKETING,5,,
IL-MSE-N/A-087,MOUSE(generic),MOUSE(generic),Assigned,MARKETING,5,,
IL-MSE-N/A-088,Mouse(generic),Mouse(generic),Assigned,HR,5,,
IL-MSE-N/A-089,Mouse(LogiTech),Mouse(LogiTech),Assigned,Finance,5,,
IL-MSE-N/A-090,Mouse(A4TECH),Mouse(A4TECH),Assigned,Registration,5,,
IL-MSE-N/A-091,Mouse(A4TECH),Mouse(A4TECH),Assigned,Registration,5,,
IL-MSE-N/A-092,Mouse(A4TECH),Mouse(A4TECH),Assigned,REGISTRATION,5,,
IL-MSE-N/A-093,Mouse(A4TECH),Mouse(A4TECH),Assigned,REGISTRATION,5,,
IL-MSE-N/A-094,Mouse(A4TECH),Mouse(A4TECH),Assigned,INSTRUCTOR BRIDGE,5,,
IL-MSE-N/A-095,MOUSE (ACER),MOUSE (ACER),Assigned,ERS Station 4,5,,
IL-MSE-N/A-096,MOUSE (ACER),MOUSE (ACER),Assigned,ROOM 104,5,,
